Generation,Investment,Iteration,CO2 Price
WIND,55.100979363580386,29,0.09221744072783596
SOLAR,80.99678509737674,29,0.09221744072783596
OCGT,3.4805468736640615,30,0.1896164167232687
CCGT,0.08402994808398336,30,0.1896164167232687
WIND,37.53102551131016,30,0.1896164167232687
SOLAR,64.15665493177394,30,0.1896164167232687
OCGT,3.479276484457367,31,0.12421643192068793
CCGT,0.125,31,0.12421643192068793
WIND,43.83886031682977,31,0.12421643192068793
SOLAR,61.16464754513927,31,0.12421643192068793
OCGT,3.478930346925356,32,0.08987948853015042
CCGT,0.1361629354067254,32,0.08987948853015042
WIND,47.18036127903611,32,0.08987948853015042
SOLAR,79.40730395878451,32,0.08987948853015042
OCGT,3.4789303469253783,33,0.04558907430318565
CCGT,0.1361629354067126,33,0.04558907430318565
