Location,Timetag,Hourly Surface solar radiation downwards (J/m2),Temperature factor
home,2020-05-15 15:00:00,788448.0,0.9416818
home,2020-05-15 16:00:00,712644.0,0.9378475
home,2020-05-15 17:00:00,494520.0,0.9349992
home,2020-05-15 18:00:00,165080.0,0.93024015
home,2020-05-15 19:00:00,6120.0,0.91356146
home,2020-05-15 20:00:00,0.0,0.8965349
home,2020-05-15 21:00:00,0.0,0.8770184
home,2020-05-15 22:00:00,0.0,0.8579469
home,2020-05-15 23:00:00,0.0,0.83729553
home,2020-05-16 00:00:00,0.0,0.81918526
home,2020-05-16 01:00:00,0.0,0.8035012
home,2020-05-16 02:00:00,0.0,0.7920409
home,2020-05-16 03:00:00,4513.0,0.7866896
home,2020-05-16 04:00:00,151688.0,0.7882634
home,2020-05-16 05:00:00,444689.0,0.8174268
home,2020-05-16 06:00:00,884372.0,0.86108685
home,2020-05-16 07:00:00,1261984.0,0.8989993
home,2020-05-16 08:00:00,1838528.0,0.921925
home,2020-05-16 09:00:00,1888886.0,0.94410187
home,2020-05-16 10:00:00,2002810.0,0.9553703
home,2020-05-16 11:00:00,1311476.0,0.9651904
home,2020-05-16 12:00:00,1145046.0,0.963487
home,2020-05-16 13:00:00,1072700.0,0.9582139
home,2020-05-16 14:00:00,1151248.0,0.95271504
home,2020-05-16 15:00:00,1132552.0,0.9506022
home,2020-05-16 16:00:00,1016836.0,0.9492533
home,2020-05-16 17:00:00,549328.0,0.9442411
home,2020-05-16 18:00:00,169408.0,0.933238
home,2020-05-16 19:00:00,8076.0,0.91444314
home,2020-05-16 20:00:00,0.0,0.8950375
home,2020-05-16 21:00:00,0.0,0.87701434
home,2020-05-16 22:00:00,0.0,0.8584523
home,2020-05-16 23:00:00,0.0,0.8454118
home,2020-05-17 00:00:00,0.0,0.8320936
home,2020-05-17 01:00:00,0.0,0.82121384
home,2020-05-17 02:00:00,0.0,0.8144285
home,2020-05-17 03:00:00,6460.0,0.8067988
home,2020-05-17 04:00:00,222697.0,0.80029714
home,2020-05-17 05:00:00,667425.0,0.8113987
home,2020-05-17 06:00:00,1224404.0,0.85918456
home,2020-05-17 07:00:00,1787080.0,0.90076554
home,2020-05-17 08:00:00,2271048.0,0.9332712
home,2020-05-17 09:00:00,2133698.0,0.9559909
home,2020-05-17 10:00:00,1304484.0,0.9670315
home,2020-05-17 11:00:00,1128098.0,0.96851873
home,2020-05-17 12:00:00,1339702.0,0.9702983
home,2020-05-17 13:00:00,883176.0,0.9743084
home,2020-05-17 14:00:00,1165124.0,0.9741485
home,2020-05-17 15:00:00,1512748.0,0.9779999
home,2020-05-17 16:00:00,1004000.0,0.98231566
home,2020-05-17 17:00:00,430928.0,0.9822885
home,2020-05-17 18:00:00,228756.0,0.9764875
home,2020-05-17 19:00:00,10060.0,0.95749134
home,2020-05-17 20:00:00,0.0,0.9389355
home,2020-05-17 21:00:00,0.0,0.91705865
home,2020-05-17 22:00:00,0.0,0.892869
home,2020-05-17 23:00:00,0.0,0.87937593
home,2020-05-18 00:00:00,0.0,0.8700151
home,2020-05-18 01:00:00,0.0,0.8661841
home,2020-05-18 02:00:00,0.0,0.86668676
home,2020-05-18 03:00:00,7341.0,0.86600536
home,2020-05-18 04:00:00,217402.0,0.86531484
home,2020-05-18 05:00:00,669941.0,0.8776567
home,2020-05-18 06:00:00,1074670.0,0.9056584
home,2020-05-18 07:00:00,1590914.0,0.9324724
home,2020-05-18 08:00:00,1957358.0,0.95628166
home,2020-05-18 09:00:00,2411286.0,0.97351754
home,2020-05-18 10:00:00,2782574.0,0.9865825
home,2020-05-18 11:00:00,2533872.0,0.9950626
home,2020-05-18 12:00:00,2625370.0,0.9972248
home,2020-05-18 13:00:00,2507952.0,0.99781317
home,2020-05-18 14:00:00,2241784.0,0.9979451
home,2020-05-18 15:00:00,1827300.0,0.99783146
home,2020-05-18 16:00:00,1295876.0,0.99692214
home,2020-05-18 17:00:00,737556.0,0.99376374
home,2020-05-18 18:00:00,199972.0,0.9871484
home,2020-05-18 19:00:00,11596.0,0.96930164
home,2020-05-18 20:00:00,0.0,0.9516038
home,2020-05-18 21:00:00,0.0,0.93438673
home,2020-05-18 22:00:00,0.0,0.91961706
home,2020-05-18 23:00:00,0.0,0.9030684
home,2020-05-19 00:00:00,0.0,0.90052474
home,2020-05-19 01:00:00,0.0,0.8971962
home,2020-05-19 02:00:00,0.0,0.8987379
home,2020-05-19 03:00:00,5901.0,0.9023889
home,2020-05-19 04:00:00,129282.0,0.9050187
home,2020-05-19 05:00:00,418565.0,0.9152638
home,2020-05-19 06:00:00,1053166.0,0.933022
home,2020-05-19 07:00:00,1116508.0,0.95177853
home,2020-05-19 08:00:00,1777130.0,0.96498835
home,2020-05-19 09:00:00,2121010.0,0.9818096
home,2020-05-19 10:00:00,2110200.0,0.9916514
home,2020-05-19 11:00:00,1782522.0,0.9960177
home,2020-05-19 12:00:00,794020.0,0.9972449
home,2020-05-19 13:00:00,1062880.0,0.9967241
home,2020-05-19 14:00:00,1052452.0,0.9973335
